x;y;z;T;phi;Q
0.000000;82.269997;0.000000;0.000000;0.000000;0.000000;
0.500000;83.136002;0.000000;0.000000;0.000000;0.000000;
0.000000;84.001999;0.000000;0.000000;0.000000;0.000000;
0.500000;84.867996;0.000000;0.000000;0.000000;0.000000;
0.000000;85.734001;0.000000;0.000000;0.000000;0.000000;
0.500000;86.599998;0.000000;0.000000;0.000000;0.000000;
0.000000;87.466003;0.000000;0.000000;0.000000;0.000000;
0.500000;88.332001;0.000000;0.000000;0.000000;0.000000;
0.000000;89.197998;0.000000;0.000000;0.000000;0.000000;
0.500000;90.064003;0.000000;0.000000;0.000000;0.000000;
0.000000;90.930000;0.000000;0.000000;0.000000;0.000000;
0.500000;91.795998;0.000000;0.000000;0.000000;0.000000;
0.000000;92.662003;0.000000;0.000000;0.000000;0.000000;
0.500000;93.528000;0.000000;0.000000;0.000000;0.000000;
0.000000;94.393997;0.000000;0.000000;0.000000;0.000000;
0.500000;95.260002;0.000000;0.000000;0.000000;0.000000;
0.000000;96.125999;0.000000;0.000000;0.000000;0.000000;
0.500000;96.991997;0.000000;0.000000;0.000000;0.000000;
0.000000;97.858002;0.000000;0.000000;0.000000;0.000000;
0.500000;98.723999;0.000000;0.000000;0.000000;0.000000;
0.000000;99.589996;0.000000;0.000000;0.000000;0.000000;
0.500000;100.456001;0.000000;0.000000;0.000000;0.000000;
0.000000;101.321999;0.000000;0.000000;0.000000;0.000000;
0.500000;102.188004;0.000000;0.000000;0.000000;0.000000;
0.000000;103.054001;0.000000;0.000000;0.000000;0.000000;
0.500000;103.919998;0.000000;0.000000;0.000000;0.000000;
0.000000;104.786003;0.000000;0.000000;0.000000;0.000000;
0.500000;105.652000;0.000000;0.000000;0.000000;0.000000;
0.000000;106.517998;0.000000;0.000000;0.000000;0.000000;
0.500000;107.384003;0.000000;0.000000;0.000000;0.000000;
0.000000;108.250000;0.000000;0.000000;0.000000;0.000000;
0.500000;109.115997;0.000000;0.000000;0.000000;0.000000;
0.000000;109.982002;0.000000;0.000000;0.000000;0.000000;
0.500000;110.848000;0.000000;0.000000;0.000000;0.000000;
0.000000;111.713997;0.000000;0.000000;0.000000;0.000000;
0.500000;112.580002;0.000000;0.000000;0.000000;0.000000;
0.000000;113.445999;0.000000;0.000000;0.000000;0.000000;
0.500000;114.311996;0.000000;0.000000;0.000000;0.000000;
0.000000;115.178001;0.000000;0.000000;0.000000;0.000000;
0.500000;116.043999;0.000000;0.000000;0.000000;0.000000;
0.000000;116.910004;0.000000;0.000000;0.000000;0.000000;
0.500000;117.776001;0.000000;0.000000;0.000000;0.000000;
0.000000;118.641998;0.000000;0.000000;0.000000;0.000000;
0.500000;119.508003;0.000000;0.000000;0.000000;0.000000;
0.000000;120.374001;0.000000;0.000000;0.000000;0.000000;
0.500000;121.239998;0.000000;0.000000;0.000000;0.000000;
0.000000;122.106003;0.000000;0.000000;0.000000;0.000000;
0.500000;122.972000;0.000000;0.000000;0.000000;0.000000;
0.000000;123.837997;0.000000;0.000000;0.000000;0.000000;
0.500000;124.704002;0.000000;0.000000;0.000000;0.000000;
0.000000;125.570000;0.000000;0.000000;0.000000;0.000000;
0.500000;126.435997;0.000000;0.000000;0.000000;0.000000;
0.000000;127.302002;0.000000;0.000000;0.000000;0.000000;
0.500000;128.167999;0.000000;0.000000;0.000000;0.000000;
0.000000;129.033997;0.000000;0.000000;0.000000;0.000000;
0.500000;129.899994;0.000000;0.000000;0.000000;0.000000;
0.000000;130.766006;0.000000;0.000000;0.000000;0.000000;
0.500000;131.632004;0.000000;0.000000;0.000000;0.000000;
0.000000;132.498001;0.000000;0.000000;0.000000;0.000000;
0.500000;133.363998;0.000000;0.000000;0.000000;0.000000;
0.000000;134.229996;0.000000;0.000000;0.000000;0.000000;
0.500000;135.095993;0.000000;0.000000;0.000000;0.000000;
0.000000;135.962006;0.000000;0.000000;0.000000;0.000000;
0.500000;136.828003;0.000000;0.000000;0.000000;0.000000;
0.000000;137.694000;0.000000;0.000000;0.000000;0.000000;
0.500000;138.559998;0.000000;0.000000;0.000000;0.000000;
0.000000;139.425995;0.000000;0.000000;0.000000;0.000000;
0.500000;140.292007;0.000000;0.000000;0.000000;0.000000;
0.000000;141.158005;0.000000;0.000000;0.000000;0.000000;
0.500000;142.024002;0.000000;0.000000;0.000000;0.000000;
0.000000;142.889999;0.000000;0.000000;0.000000;0.000000;
0.500000;143.755997;0.000000;0.000000;0.000000;0.000000;
0.000000;144.621994;0.000000;0.000000;0.000000;0.000000;
0.500000;145.488007;0.000000;0.000000;0.000000;0.000000;
0.000000;146.354004;0.000000;0.000000;0.000000;0.000000;
0.500000;147.220001;0.000000;0.000000;0.000000;0.000000;
0.000000;148.085999;0.000000;0.000000;0.000000;0.000000;
0.500000;148.951996;0.000000;0.000000;0.000000;0.000000;
0.000000;149.817993;0.000000;0.000000;0.000000;0.000000;
0.500000;150.684006;0.000000;0.000000;0.000000;0.000000;
0.000000;151.550003;0.000000;0.000000;0.000000;0.000000;
0.500000;152.416000;0.000000;0.000000;0.000000;0.000000;
0.000000;153.281998;0.000000;0.000000;0.000000;0.000000;
0.500000;154.147995;0.000000;0.000000;0.000000;0.000000;
0.000000;155.014008;0.000000;0.000000;0.000000;0.000000;
0.500000;155.880005;0.000000;0.000000;0.000000;0.000000;
0.000000;156.746002;0.000000;0.000000;0.000000;0.000000;
0.500000;157.612000;0.000000;0.000000;0.000000;0.000000;
0.000000;158.477997;0.000000;0.000000;0.000000;0.000000;
0.500000;159.343994;0.000000;0.000000;0.000000;0.000000;
0.000000;160.210007;0.000000;0.000000;0.000000;0.000000;
0.500000;161.076004;0.000000;0.000000;0.000000;0.000000;
0.000000;161.942001;0.000000;0.000000;0.000000;0.000000;
0.500000;162.807999;0.000000;0.000000;0.000000;0.000000;
0.000000;163.673996;0.000000;0.000000;0.000000;0.000000;
0.500000;164.539993;0.000000;0.000000;0.000000;0.000000;
0.000000;165.406006;0.000000;0.000000;0.000000;0.000000;
